n,workers,seconds,duration
1,1,4.785363,4.7853632s
1,2,4.395201,4.3952007s
1,4,4.220904,4.2209045s
1,6,4.583667,4.5836672s
1,8,4.278111,4.2781105s
1,10,4.163720,4.1637195s
1,12,3.958281,3.9582808s
1,16,4.107532,4.1075316s
1,32,4.140414,4.1404137s
1,64,4.643206,4.6432065s
1,128,4.833580,4.8335798s
6,1,5.732222,5.7322216s
6,2,5.100803,5.1008027s
6,4,4.883023,4.8830231s
6,6,4.899971,4.8999714s
6,8,5.249364,5.2493643s
6,10,5.827755,5.8277546s
6,12,5.359779,5.3597789s
6,16,5.049131,5.049131s
6,32,5.365889,5.3658895s
6,64,5.477243,5.4772432s
6,128,5.609741,5.6097414s
